Protein.IDs	Majority.protein.IDs	Protein.names	Gene.names	Fasta.headers	Peptides	Razor...unique.peptides	Unique.peptides	LFQ.intensity.Ubi4_1	LFQ.intensity.Ubi4_2	LFQ.intensity.Ubi4_3	LFQ.intensity.Ubi6_1	LFQ.intensity.Ubi6_2	LFQ.intensity.Ubi6_3	LFQ.intensity.Ctrl_1	LFQ.intensity.Ctrl_2	LFQ.intensity.Ctrl_3	LFQ.intensity.Ubi1_1	LFQ.intensity.Ubi1_2	LFQ.intensity.Ubi1_3	Only.identified.by.site	Reverse	Potential.contaminant
A5YKK6-2;A5YKK6;A5YKK6-3;A5YKK6-4;B5MDN3;H3BT18;H3BU44;H3BNB1;H3BVC9;H3BMZ2	A5YKK6-2;A5YKK6;A5YKK6-3;A5YKK6-4	CCR4-NOT transcription complex subunit 1	CNOT1	>sp|A5YKK6-2|CNOT1_HUMAN Isoform 2 of CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1;>sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2;>sp|A5YKK6-3|CNOT1_HUMAN Isoform 3 of CCR4-NOT transc	7	7	7	42029000	55799000	25225000	0	0	0	0	0	0	0	0	0			
A6ND36;K7EKG0;A6ND36-2	A6ND36	Protein FAM83G	FAM83G	>sp|A6ND36|FA83G_HUMAN Protein FAM83G OS=Homo sapiens GN=FAM83G PE=1 SV=2	7	7	7	27767000	37248000	26946000	37105000	32320000	30419000	36631000	37428000	34592000	34322000	30282000	31437000			
Q7LGA3-3;Q7LGA3-2;A6ND99;Q7LGA3;K7EP71	Q7LGA3-3;Q7LGA3-2;A6ND99;Q7LGA3;K7EP71	Heparan sulfate 2-O-sulfotransferase 1	HS2ST1	>sp|Q7LGA3-3|HS2ST_HUMAN Isoform 3 of Heparan sulfate 2-O-sulfotransferase 1 OS=Homo sapiens GN=HS2ST1;>sp|Q7LGA3-2|HS2ST_HUMAN Isoform 2 of Heparan sulfate 2-O-sulfotransferase 1 OS=Homo sapiens GN=HS2ST1;>tr|A6ND99|A6ND99_HUMAN Heparan sulfate 2-O-sulfot	3	3	3	8984900	0	15589000	14493000	0	0	11412000	0	16356000	11838000	10844000	10848000			
A6NDG6;H3BV17	A6NDG6	Phosphoglycolate phosphatase	PGP	>sp|A6NDG6|PGP_HUMAN Phosphoglycolate phosphatase OS=Homo sapiens GN=PGP PE=1 SV=1	13	13	13	214240000	198100000	224260000	212640000	210690000	191980000	186950000	176680000	171900000	188320000	150280000	150370000			
A6NDU8	A6NDU8	UPF0600 protein C5orf51	C5orf51	>sp|A6NDU8|CE051_HUMAN UPF0600 protein C5orf51 OS=Homo sapiens GN=C5orf51 PE=1 SV=1	1	1	1	0	0	0	0	0	0	0	0	5266500	0	0	0			
P51610-2;P51610;P51610-4;A6NEM2;P51610-3;H7C1C4	P51610-2;P51610;P51610-4;A6NEM2	Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6	HCFC1	>sp|P51610-2|HCFC1_HUMAN Isoform 2 of Host cell factor 1 OS=Homo sapiens GN=HCFC1;>sp|P51610|HCFC1_HUMAN Host cell factor 1 OS=Homo sapiens GN=HCFC1 PE=1 SV=2;>sp|P51610-4|HCFC1_HUMAN Isoform 4 of Host cell factor 1 OS=Homo sapiens GN=HCFC1;>tr|A6NEM2|A6NE	13	13	13	0	0	0	0	0	0	9363400	10293000	14498000	17417000	12581000	9988700			
Q8IZP0-2;Q8IZP0-4;Q8IZP0-3;Q8IZP0-5;Q8IZP0-6;Q8IZP0-9;F8WA56;Q8IZP0;A6NFN2;Q8IZP0-10;Q8IZP0-8;F5H1G9;Q8IZP0-7;F8WA55;Q8IZP0-12;Q8IZP0-11;E9PEZ7;Q9NYB9-2;E7EW77;E7EP65;Q9NYB9-4;Q9NYB9;J3KNB2	Q8IZP0-2;Q8IZP0-4;Q8IZP0-3;Q8IZP0-5;Q8IZP0-6;Q8IZP0-9;F8WA56;Q8IZP0;A6NFN2;Q8IZP0-10;Q8IZP0-8;F5H1G9;Q8IZP0-7;F8WA55;Q8IZP0-12	Abl interactor 1	ABI1	>sp|Q8IZP0-2|ABI1_HUMAN Isoform 2 of Abl interactor 1 OS=Homo sapiens GN=ABI1;>sp|Q8IZP0-4|ABI1_HUMAN Isoform 4 of Abl interactor 1 OS=Homo sapiens GN=ABI1;>sp|Q8IZP0-3|ABI1_HUMAN Isoform 3 of Abl interactor 1 OS=Homo sapiens GN=ABI1;>sp|Q8IZP0-5|ABI1_HUMA	7	7	7	9017600	11940000	26448000	18643000	35327000	0	22044000	20781000	23162000	20750000	18508000	13184000			
Q9UKK9;A6NFX8;A6NCQ0;A6NJU6;C9JYY9;H0YEY4	Q9UKK9;A6NFX8;A6NCQ0;A6NJU6	ADP-sugar pyrophosphatase	NUDT5	>sp|Q9UKK9|NUDT5_HUMAN ADP-sugar pyrophosphatase OS=Homo sapiens GN=NUDT5 PE=1 SV=1;>tr|A6NFX8|A6NFX8_HUMAN ADP-sugar pyrophosphatase OS=Homo sapiens GN=NUDT5 PE=1 SV=1;>tr|A6NCQ0|A6NCQ0_HUMAN ADP-sugar pyrophosphatase OS=Homo sapiens GN=NUDT5 PE=1 SV=1;>t	3	3	3	0	0	0	9067300	10184000	10417000	0	0	0	0	0	0			
Q13813-3;Q13813;Q13813-2;A6NG51	Q13813-3;Q13813;Q13813-2;A6NG51	"Spectrin alpha chain, non-erythrocytic 1"	SPTAN1	">sp|Q13813-3|SPTN1_HUMAN Isoform 3 of Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1;>sp|Q13813|SPTN1_HUMAN Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 PE=1 SV=3;>sp|Q13813-2|SPTN1_HUMAN Isoform 2 of Spectrin alph"	3	3	3	0	0	0	0	0	0	6161300	0	7206600	0	0	0			
P51808;A6NGJ0	P51808;A6NGJ0	Dynein light chain Tctex-type 3	DYNLT3	>sp|P51808|DYLT3_HUMAN Dynein light chain Tctex-type 3 OS=Homo sapiens GN=DYNLT3 PE=1 SV=1;>tr|A6NGJ0|A6NGJ0_HUMAN Dynein light chain Tctex-type 3 OS=Homo sapiens GN=DYNLT3 PE=4 SV=1	1	1	1	0	0	0	0	0	0	0	0	0	0	5254000	0			
H3BU16;Q9H910-2;A6NGP5;Q9H910;B4DLH4;H3BMT0;H3BTV5;H3BMV3;H3BMM8;B4E1P3	H3BU16;Q9H910-2;A6NGP5;Q9H910;B4DLH4;H3BMT0;H3BTV5;H3BMV3	Hematological and neurological expressed 1-like protein	HN1L	>tr|H3BU16|H3BU16_HUMAN Hematological and neurological-expressed 1-like protein (Fragment) OS=Homo sapiens GN=HN1L PE=1 SV=1;>sp|Q9H910-2|HN1L_HUMAN Isoform 2 of Hematological and neurological expressed 1-like protein OS=Homo sapiens GN=HN1L;>tr|A6NGP5|A6N	5	5	5	73266000	101610000	77664000	76510000	89720000	66398000	45814000	64055000	54224000	73996000	72018000	53944000			
A6NGQ3;Q5VST9-6	A6NGQ3;Q5VST9-6		OBSCN	>tr|A6NGQ3|A6NGQ3_HUMAN Obscurin OS=Homo sapiens GN=OBSCN PE=4 SV=3;>sp|Q5VST9-6|OBSCN_HUMAN Isoform 5 of Obscurin OS=Homo sapiens GN=OBSCN	1	1	1	0	0	6106300	0	0	0	0	0	0	0	0	0	+		
A6NGV6;P27540-3;P27540-4;P27540;P27540-2	A6NGV6;P27540-3;P27540-4;P27540;P27540-2	Aryl hydrocarbon receptor nuclear translocator	ARNT	>tr|A6NGV6|A6NGV6_HUMAN Aryl hydrocarbon receptor nuclear translocator OS=Homo sapiens GN=ARNT PE=1 SV=4;>sp|P27540-3|ARNT_HUMAN Isoform 3 of Aryl hydrocarbon receptor nuclear translocator OS=Homo sapiens GN=ARNT;>sp|P27540-4|ARNT_HUMAN Isoform 4 of Aryl h	2	2	2	0	0	0	0	0	0	0	0	0	0	0	17112000			
A6NGW1;O95070;E9PIZ0;C9JST7;E9PS11	A6NGW1;O95070;E9PIZ0;C9JST7	Protein YIF1A	YIF1A	>tr|A6NGW1|A6NGW1_HUMAN Protein YIF1A OS=Homo sapiens GN=YIF1A PE=1 SV=1;>sp|O95070|YIF1A_HUMAN Protein YIF1A OS=Homo sapiens GN=YIF1A PE=1 SV=2;>tr|E9PIZ0|E9PIZ0_HUMAN Protein YIF1A (Fragment) OS=Homo sapiens GN=YIF1A PE=1 SV=1;>tr|C9JST7|C9JST7_HUMAN Pro	3	3	3	44496000	51614000	60981000	56725000	37435000	20251000	55515000	16335000	33757000	33201000	39778000	46732000			
Q14202-2;Q14202;A6NHB5;A6NHN7;Q14202-3;A6NL54	Q14202-2;Q14202;A6NHB5;A6NHN7	Zinc finger MYM-type protein 3	ZMYM3	>sp|Q14202-2|ZMYM3_HUMAN Isoform 2 of Zinc finger MYM-type protein 3 OS=Homo sapiens GN=ZMYM3;>sp|Q14202|ZMYM3_HUMAN Zinc finger MYM-type protein 3 OS=Homo sapiens GN=ZMYM3 PE=1 SV=2;>tr|A6NHB5|A6NHB5_HUMAN Zinc finger MYM-type protein 3 OS=Homo sapiens GN	7	7	7	0	0	0	0	0	0	0	0	0	30204000	0	0			
A6NHH0;X6RJ95;Q9H7Z7	A6NHH0;X6RJ95;Q9H7Z7	Prostaglandin E synthase 2;Prostaglandin E synthase 2 truncated form	PTGES2	>tr|A6NHH0|A6NHH0_HUMAN Prostaglandin E synthase 2 truncated form OS=Homo sapiens GN=PTGES2 PE=1 SV=2;>tr|X6RJ95|X6RJ95_HUMAN Prostaglandin E synthase 2 (Fragment) OS=Homo sapiens GN=PTGES2 PE=4 SV=1;>sp|Q9H7Z7|PGES2_HUMAN Prostaglandin E synthase 2 OS=Hom	2	2	2	0	0	0	0	0	0	0	0	12649000	0	0	0			
A6NHR9-2;A6NHR9;A6NHR9-3;J3KTL8	A6NHR9-2;A6NHR9;A6NHR9-3;J3KTL8	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	>sp|A6NHR9-2|SMHD1_HUMAN Isoform 2 of Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1;>sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo	5	5	5	17156000	7589600	0	0	0	0	0	0	0	0	10718000	5843100			
A6NIZ0;Q9GZM8-3;Q9GZM8;Q9GZM8-2;I3L3G9;I3L2S8;J3KRK9;J3QL85;J3QRZ1;Q9NXR1-2;Q9NXR1	A6NIZ0;Q9GZM8-3;Q9GZM8;Q9GZM8-2;I3L3G9;I3L2S8;J3KRK9;J3QL85;J3QRZ1;Q9NXR1-2;Q9NXR1	Nuclear distribution protein nudE-like 1;Nuclear distribution protein nudE homolog 1	NDEL1;NDE1	>tr|A6NIZ0|A6NIZ0_HUMAN Nuclear distribution protein nudE-like 1 OS=Homo sapiens GN=NDEL1 PE=1 SV=4;>sp|Q9GZM8-3|NDEL1_HUMAN Isoform 3 of Nuclear distribution protein nudE-like 1 OS=Homo sapiens GN=NDEL1;>sp|Q9GZM8|NDEL1_HUMAN Nuclear distribution protein 	2	2	2	0	0	0	0	0	0	0	0	0	22308000	16228000	0			
A6NJ11;Q92890;Q92890-1;C9JNP9;Q92890-3;C9J6N9;C9IZG3	A6NJ11;Q92890;Q92890-1;C9JNP9;Q92890-3	Ubiquitin fusion degradation protein 1 homolog	UFD1L	>tr|A6NJ11|A6NJ11_HUMAN Ubiquitin fusion degradation protein 1 homolog OS=Homo sapiens GN=UFD1L PE=1 SV=1;>sp|Q92890|UFD1_HUMAN Ubiquitin fusion degradation protein 1 homolog OS=Homo sapiens GN=UFD1L PE=1 SV=3;>sp|Q92890-1|UFD1_HUMAN Isoform Long of Ubiqui	3	3	3	18046000	19403000	9087500	0	0	0	0	0	0	0	0	0			
A6NJ78;B5MC64;A6NJ78-3;F8WD83;A6NJ78-2;A6NJ78-4	A6NJ78;B5MC64;A6NJ78-3;F8WD83;A6NJ78-2;A6NJ78-4	Probable methyltransferase-like protein 15	METTL15	>sp|A6NJ78|MET15_HUMAN Probable methyltransferase-like protein 15 OS=Homo sapiens GN=METTL15 PE=2 SV=1;>tr|B5MC64|B5MC64_HUMAN Probable methyltransferase-like protein 15 OS=Homo sapiens GN=METTL15 PE=4 SV=1;>sp|A6NJ78-3|MET15_HUMAN Isoform 3 of Probable me	2	2	2	0	0	0	0	0	0	0	0	5069000	0	0	0			
A6NJA2;P54578-2;B7Z4N8;P54578	A6NJA2;P54578-2;B7Z4N8;P54578	Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase 14	USP14	>tr|A6NJA2|A6NJA2_HUMAN Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens GN=USP14 PE=1 SV=2;>sp|P54578-2|UBP14_HUMAN Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens GN=USP14;>tr|B7Z4N8|B7Z4N8_HUMAN Ubiquitin carboxyl-terminal hyd	2	2	1	0	0	0	12054000	14205000	0	0	0	0	0	0	0			
H7C2P7;Q16540;A6NJD9;A8MVT4;A8MYK1	H7C2P7;Q16540;A6NJD9;A8MVT4;A8MYK1	"39S ribosomal protein L23, mitochondrial"	MRPL23	">tr|H7C2P7|H7C2P7_HUMAN 39S ribosomal protein L23, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL23 PE=1 SV=1;>sp|Q16540|RM23_HUMAN 39S ribosomal protein L23, mitochondrial OS=Homo sapiens GN=MRPL23 PE=1 SV=1;>tr|A6NJD9|A6NJD9_HUMAN 39S ribosomal protein"	1	1	1	0	0	0	0	0	0	0	0	0	0	0	6943000			
A6NKD9;H0YJE0;G3V2D7;H0YJY5;G3V5D5;G3V4C8	A6NKD9;H0YJE0	Coiled-coil domain-containing protein 85C	CCDC85C	>sp|A6NKD9|CC85C_HUMAN Coiled-coil domain-containing protein 85C OS=Homo sapiens GN=CCDC85C PE=1 SV=1;>tr|H0YJE0|H0YJE0_HUMAN Coiled-coil domain-containing protein 85C (Fragment) OS=Homo sapiens GN=CCDC85C PE=4 SV=1	10	10	10	21183000	24493000	25832000	0	0	0	19858000	28114000	21895000	22401000	22650000	19728000			
A6NKF9;B7ZAQ6-2;B7ZAQ6-3;P0CG08;B7ZAQ6;V9GY17;H0YFP4;U3KPV2;E9PKY3	A6NKF9;B7ZAQ6-2;B7ZAQ6-3;P0CG08;B7ZAQ6;V9GY17;H0YFP4;U3KPV2;E9PKY3	Putative Golgi pH regulator C;Golgi pH regulator A;Golgi pH regulator B	GPR89C;GPR89A;GPR89B	>sp|A6NKF9|GPHRC_HUMAN Putative Golgi pH regulator C OS=Homo sapiens GN=GPR89C PE=5 SV=2;>sp|B7ZAQ6-2|GPHRA_HUMAN Isoform 2 of Golgi pH regulator A OS=Homo sapiens GN=GPR89A;>sp|B7ZAQ6-3|GPHRA_HUMAN Isoform 3 of Golgi pH regulator A OS=Homo sapiens GN=GPR8	2	2	2	0	0	13424000	0	0	0	0	0	0	0	0	0			
A6NLH6;Q9P003	A6NLH6;Q9P003	Protein cornichon homolog 4	CNIH4	>tr|A6NLH6|A6NLH6_HUMAN Protein cornichon homolog 4 OS=Homo sapiens GN=CNIH4 PE=1 SV=1;>sp|Q9P003|CNIH4_HUMAN Protein cornichon homolog 4 OS=Homo sapiens GN=CNIH4 PE=1 SV=1	1	1	1	0	0	0	0	13880000	0	0	0	0	0	0	0			
A6NMA8;O95825;H7C3S0;C9JQD0;C9K0F7;C9JAL0;F8WF64;O95825-2;H7C3I5;A6NND8;A6NHJ8;C9JZK8	A6NMA8;O95825;H7C3S0;C9JQD0;C9K0F7;C9JAL0;F8WF64;O95825-2;H7C3I5;A6NND8;A6NHJ8	Quinone oxidoreductase-like protein 1	CRYZL1	>tr|A6NMA8|A6NMA8_HUMAN Quinone oxidoreductase-like protein 1 OS=Homo sapiens GN=CRYZL1 PE=1 SV=1;>sp|O95825|QORL1_HUMAN Quinone oxidoreductase-like protein 1 OS=Homo sapiens GN=CRYZL1 PE=1 SV=2;>tr|H7C3S0|H7C3S0_HUMAN Quinone oxidoreductase-like protein 1	3	3	3	0	0	0	0	0	0	13382000	14721000	17418000	0	14548000	13508000			
